,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
162,2023-08-25T00:00:00.000Z,130.69,131.4,128.04,130.14,20678096,130.3678272461,131.0760769771,127.7243599403,129.8191830883,20678096,0.0,1.0
163,2023-08-28T00:00:00.000Z,131.79,133.24,130.85,132.08,16715467,131.4651155618,132.9115410687,130.5274328193,131.7544006632,16715467,0.0,1.0
164,2023-08-29T00:00:00.000Z,135.49,137.295,132.98,132.9981,30803265,135.1559944416,136.9565448141,132.6521820123,132.6702373928,30803265,0.0,1.0
165,2023-08-30T00:00:00.000Z,136.93,137.25,135.021,135.57,21773356,136.5924446003,136.9116557467,134.6881506052,135.2357972282,21773356,0.0,1.0
166,2023-08-31T00:00:00.000Z,137.35,138.4,136.82,137.05,28147850,137.0114092299,138.0588208039,136.4827157687,136.7121487802,28147850,0.0,1.0
167,2023-09-01T00:00:00.000Z,136.8,138.58,135.94,138.43,16671647,136.4627650721,138.2383770737,135.6048851162,138.0887468489,16671647,0.0,1.0
168,2023-09-05T00:00:00.000Z,136.71,137.37,135.56,136.44,17730218,136.3729869372,137.0313599265,135.2258218799,136.1036525324,17730218,0.0,1.0
169,2023-09-06T00:00:00.000Z,135.37,137.48,134.69,137.015,15814327,135.0362902618,137.1410887581,134.3579665757,136.677235061,15814327,0.0,1.0
170,2023-09-07T00:00:00.000Z,136.2,136.58,133.9601,134.6,16975956,135.8642441726,136.243307409,133.6298659016,134.2681884408,16975956,0.0,1.0
171,2023-09-08T00:00:00.000Z,137.2,137.515,135.87,135.87,17820005,136.861779005,137.1760024772,135.5350576779,135.5350576779,17820005,0.0,1.0
172,2023-09-11T00:00:00.000Z,137.74,138.2638,136.55,137.38,17180755,137.4004478145,137.9229565597,136.213381364,137.0413352749,17180755,0.0,1.0
173,2023-09-12T00:00:00.000Z,136.07,137.64,135.93,137.13,15212934,135.7345646444,137.3006943313,135.5949097679,136.7919515668,15212934,0.0,1.0
174,2023-09-13T00:00:00.000Z,137.5,137.7,134.93,135.9,16394915,137.1610394548,137.3605464212,134.5973749355,135.5649837229,16394915,0.0,1.0
